id1,id2
66915,335
208582,335
651107,335
988638,335
295756,441
5953,1098
59537,1098
61938,1098
130932,1098
139026,1098
182598,1098
200968,1098
354105,1098
379125,1098
503913,1098
562304,1098
623985,1098
754032,1098
771438,1098
772567,1098
840402,1098
41874,2330
754032,2330
346336,2411
354105,2411
754032,2411
840102,2411
988440,2411
112462,2867
139026,2867
187478,2867
192382,2867
240865,2867
255371,2867
354105,2867
489303,2867
831381,2867
894465,2867
297894,3170
754032,3595
131627,3669
170369,3669
289177,3669
584923,3669
744265,3669
767068,3669
100160,4955
577627,4955
192382,5441
246611,5441
424244,5441
771438,5441
424244,5501
754032,5501
771438,5501
66915,5882
100160,5882
354105,5882
489303,5882
577627,5882
754032,5882
799053,5882
894465,5882
22928,5953
41874,5953
46120,5953
66915,5953
76057,5953
100160,5953
114342,5953
137474,5953
182598,5953
311674,5953
346336,5953
354105,5953
489303,5953
489676,5953
562304,5953
577627,5953
754032,5953
772567,5953
894465,5953
66915,5980
66915,6310
287917,6310
350840,6310
936425,6310
987491,6310
41874,6320
43714,6320
46925,6320
96964,6320
110161,6320
130689,6320
674662,6320
685647,6320
754032,6320
796734,6320
36537,7230
112462,7230
139026,7230
187478,7230
240865,7230
354105,7230
754032,7230
842351,7230
152312,7305
139026,7731
346336,7731
771438,7731
5953,7920
61938,7920
114342,7920
139026,7920
192382,7920
379125,7920
562304,7920
623985,7920
771438,7920
59293,8245
575051,8245
66915,8549
131627,8549
346336,8549
379125,8549
754032,8549
840402,8549
235923,8828
484145,8828
100160,9084
754032,9084
840402,9084
270491,9437
100160,9490
577627,9490
894465,9490
12472,10412
20050,10412
36106,10412
38490,10412
66915,10412
77175,10412
96964,10412
265440,10412
313284,10412
317417,10412
745964,10412
988440,10412
531986,10538
754032,10982
313284,11608
354105,11608
66915,11707
240865,11707
674662,11707
754032,11707
809058,11707
473554,11754
686897,11754
936190,11754
175196,11910
354105,11910
66915,12472
489303,12472
489676,12472
493122,12472
631774,12472
751019,12472
754032,12472
925181,12472
5953,12654
139026,12654
246611,12654
299471,12654
745241,12654
771438,12654
66915,12877
531986,12972
300245,13101
686897,13384
66915,13387
96613,13387
130689,13387
137474,13387
166785,13387
182900,13387
204386,13387
270491,13387
359016,13387
936190,13387
962339,13387
66915,13508
379125,13508
631774,13508
754032,13508
21744,13583
66915,13583
130689,13583
379125,13583
631774,13583
